,portfolio_value
116,77147.57326688946
117,77668.06559952049
118,78362.2684664764
119,77971.47820277308
120,76991.06444883694
121,76649.94452760622
122,76256.3808670369
123,74734.27144494103
124,74048.3680504389
125,74854.22418541594
126,75216.78540355281
127,74617.37641918565
128,74682.74190721153
129,75899.45971672153
130,75392.815627529
131,75904.90698841496
132,75017.7430769013
133,75303.05146605245
134,75168.08560977037
135,74822.00429386189
136,75209.16994571677
137,74789.7972587814
138,75762.4868125384
139,75333.70775913235
140,74486.3167805004
141,75163.76612381505
142,76210.51097442994
143,75714.16253404666
144,75808.2373249594
145,75778.46832798226
146,76181.7973236035
147,76456.66185010428
148,75947.50052920236
149,75362.49516431997
150,75622.60490814409
151,75781.48673715483
152,76239.5369789533
153,75371.7223864211
154,75555.5671721477
155,75569.49324939738
156,75461.67147417995
157,73883.69980059422
158,74210.37606770093
159,73976.33214007299
160,73531.35050323882
161,73356.92931257605
162,73697.50509662523
163,73777.31390779406
164,74147.91062586219
165,74265.87915758036
166,74156.84392908649
167,74922.71908827432
168,76379.50448297098
169,76332.04254502179
170,76819.43300575415
171,76291.84433450842
172,76151.77457118242
173,75663.56981464826
174,75107.18241906087
175,75238.23675081451
176,75293.27221981106
177,76555.56075834898
178,76999.45337726371
179,76500.14814873792
180,76108.98665590376
181,77607.20551418637
182,77134.95945638242
183,77448.62613014031
184,77284.08410171141
185,79029.1517437094
186,79806.86305400054
187,79352.70582658859
188,79082.07114872652
189,78336.17476279492
190,78239.92291612738
191,77428.60231834892
192,76976.01205590808
193,76976.80300888034
194,76702.28208595002
195,78033.8606690793
196,78389.3731083773
197,78678.82096759144
198,78307.60484789131
199,77929.74902002157
200,77785.56842663739
201,77216.17455954046
202,77605.38564341128
203,77179.54226368915
204,76855.41417974827
205,77058.85181672398
206,75860.38131772868
207,76526.99491942128
208,76470.97080571654
209,75971.44689065963
210,76207.03261609167
211,75585.7488244904
212,70140.97473847827
213,71935.07855597789
214,72958.25617278203
215,72362.3719342191
216,69190.88995237523
217,69665.2552654424
218,70175.0207382743
219,70468.24333227515
220,71378.26555396352
221,71104.90769554896
222,70560.65308785392
223,70776.81513362174
224,70406.00806516438
225,70434.13021681675
226,72042.09494156051
227,70954.56729053348
228,71098.32674664911
229,71308.07116949066
230,70309.42293015234
231,70292.85231044552
232,70640.27373195247
233,71009.08814326397
234,71333.87421897531
235,70566.78479338253
236,70592.54205231914
237,70640.93959495549
238,71599.06567709753
239,71441.54860778399
240,71177.56170765797
241,70845.15585626337
242,70763.80854169569
243,70941.20011827465
244,71734.86954475626
245,72191.7136808954
246,72988.52062144733
247,72751.52752091792
248,72646.32706856821
249,73259.19440238296
250,73559.34027684561
251,74016.8276804095
252,74712.30585448163
253,75032.17486954217
254,75743.89548717767
255,75676.63141242982
256,76392.98571241884
257,75771.99231904779
258,76802.49158014082
259,77135.47648364557
260,77972.02074442348
261,78845.62191845065
262,79843.07813769883
263,80387.61489706214
264,81621.49854652793
265,84747.67789402859
266,88289.1211652149
267,88781.10941538619
268,86117.57682477852
269,84466.16305722974
270,84915.98510270263
271,80403.60589203732
272,77642.5170859665
273,79945.59076001318
274,79580.17871761997
275,79275.37801903988
276,79343.33672149101
277,79587.88008813937
278,79063.31815703142
279,78591.39311545253
280,78478.08862487288
281,78378.97074409877
282,79044.17209823479
283,81503.98938174364
284,83421.6270830597
285,82288.95122877805
286,81399.71835005478
287,81464.4265514581
288,82588.85901836987
289,85162.62144318935
290,86957.90035931746
291,86962.65115920943
292,86790.42635169742
293,90014.49113576376
294,88955.06669322998
295,90988.4003986614
296,90525.48959124641
297,89866.96840360017
298,90688.89451555927
299,88661.62076085496
300,88440.62530320112
301,89077.71263649534
302,90437.12437649482
303,87008.28404226189
304,88078.30314082984
305,87154.55460571789
306,87390.1366419507
307,87785.4027967879
308,87757.66113415603
309,87717.22420751659
310,90342.76301462801
311,89619.7218996646
312,88888.9679311392
313,87738.86199589487
314,87207.92392438668
315,86785.65876076277
316,80057.92247715975
317,81470.26413595787
318,85197.57997498581
319,84346.3659096128
320,81863.73867259397
321,82762.91453165963
322,83309.21894548293
323,83497.16937906166
324,81922.73719371612
325,82361.78673327382
326,82018.62792489762
327,81969.49451905611
328,81888.28233134699
329,84019.6566425997
330,83880.91227214596
331,82943.19255839808
332,83123.02963815028
333,83886.99105954188
334,84669.16013810498
335,85120.80682743913
336,86470.72286130062
337,87658.9249416268
338,88899.61296793069
339,88574.83376370666
340,89788.781903506
341,88454.98852154787
342,88994.15744787258
343,89240.56236992596
344,89636.34173053098
345,90415.98628587776
346,90228.75213553123
347,89519.69692212087
348,89893.07735813266
349,88874.80518829815
350,89341.2811884586
351,89052.07538424802
352,88929.08129352597
353,89598.69099839884
354,89690.77522816605
355,88820.7439401766
356,88857.18321584638
357,89628.87163184315
358,89967.50783699843
359,88939.83731984362
360,89053.05376732617
361,89562.27237641861
362,88831.3406682148
363,88606.46185432124
364,89396.69716512898
365,89427.19483183799
366,88872.24589444982
367,89177.35816112881
368,89239.78257127738
369,89310.43606030864
370,89809.10071611562
371,89712.8849393451
372,89929.70472140016
373,89675.53218315366
374,90217.0376998521
375,90582.06680262537
376,90317.17498782893
377,89926.99392195666
378,90646.08850708812
379,90592.95885717432
380,91705.56301215904
381,92040.53432952211
382,92751.8576684839
383,92019.80308614447
384,93454.22441596737
385,93992.60589332388
386,92174.04791230314
387,92984.55672340185
388,94035.04856042833
389,93053.27211198113
390,93412.09557511719
391,92836.1265493607
392,92948.26432001201
393,94299.96029312545
394,93777.63536243059
395,93186.84791249677
396,93506.19814981647
397,93431.48958141606
398,93556.18486944381
399,93555.98722752821
400,93477.78352922856
401,92949.72458094459
402,91391.23325568605
403,91816.99912412847
404,91856.01090949813
405,91693.48469530213
406,92033.55984706346
407,92308.78633056793
408,93914.54473921681
409,98948.95664047769
410,99471.28757957593
411,99590.04393882344
412,103130.23862865231
413,104631.39532426426
414,103838.11993442057
415,104806.89365484791
416,104351.41841952446
417,104590.65260317767
418,115000.80327914743
419,113313.59609499323
420,114316.62236733355
421,120096.92434680834
422,118839.67063954975
423,117669.4844459501
424,110592.63291847224
425,104085.32197083927
426,106402.6820037852
427,110808.92728942452
428,109946.658892465
429,109191.54862723025
430,108935.31281425682
431,112154.97207146302
432,113001.35883721094
433,112721.73675380048
434,113595.0150623582
435,110202.15466106689
436,112880.96917130162
437,110936.66634248343
438,111863.99293365277
439,111344.60882486297
440,111418.39805128306
441,111666.19774710594
442,112597.66382410245
443,112633.72254991012
444,111601.60632858453
445,111956.6874822665
446,110559.30319767009
447,110587.33007774287
448,110536.095244829
449,111307.02970205744
