,portfolio_value
429,468652.21261113894
430,462151.23924312805
431,451383.52777404996
432,466276.79846601596
433,473123.87301341596
434,474317.01301069517
435,457682.0569012774
436,430332.16097026377
437,423978.9476829548
438,434908.8147926341
439,427422.30626782245
440,404224.7774738052
441,403331.4508556887
442,419382.41827010806
443,411080.917030757
444,499297.1631828349
445,472012.4102420595
446,487176.98468749644
447,454564.1175141587
448,446190.0236054438
449,470615.8305813163
450,494187.65211974387
451,505721.42217897606
452,477310.5057987582
453,475975.8667092195
454,492212.0997362734
455,507955.59361863445
456,586317.6898159742
457,593389.2419252953
458,579792.9474209027
459,586486.2504627709
460,631436.1423151823
461,738493.0603248316
462,713628.5409313868
463,746102.9859538514
464,738402.2761031236
465,708649.3733330304
466,681058.2051532241
467,697665.4932058903
468,706289.1530552823
469,736781.9818493301
470,743030.8264560865
471,744908.3052176517
472,777556.9837373922
473,775223.6758302397
474,798324.8513233012
475,829714.7127929102
476,737328.3938295534
477,773585.7228196858
478,774049.9862425207
479,708933.9990147982
480,697530.0014392324
481,692405.3929060276
482,649496.3047302336
483,514706.4361001456
484,587964.3476516932
485,653322.9314606381
486,630388.5331139895
487,627326.3064767307
488,581542.8409146362
489,581488.3703115892
490,626968.6047156478
491,621560.4804094947
492,668942.5979397957
493,664798.9421189871
494,662939.5392129738
495,701037.1511281427
496,686281.3366533993
497,672129.3609716903
498,687688.9245230027
499,694392.5539094534
500,755375.0380675985
501,756951.602034121
502,763961.422431693
503,856348.1058638504
504,887273.4965331882
505,899503.6412605313
506,880438.1463046543
507,878107.3650529203
508,896422.134069712
509,942772.7318158968
510,929962.456909219
511,864401.885376826
512,898769.537011958
513,922525.5722746094
514,902957.5961093543
515,955980.8988680998
516,1007266.9763213622
517,1052770.1690927204
518,1100100.9740258674
519,1120008.58831834
520,1090886.2133645013
521,1109616.4541523152
522,1157538.3845918025
523,1107417.2175332676
524,1022810.8988929001
525,1013706.355246072
526,1025423.5909143516
527,1125432.2920539887
528,1207894.8695473615
529,1182667.3078630038
530,1255785.6508290689
531,1235815.4162285172
532,1263415.8857398985
533,1263437.4117922746
534,1482760.8209042114
535,1518635.9369771664
536,1492721.5862764348
537,1543911.1304909845
538,1651982.1391290915
539,1751513.137963935
540,1790075.786637268
541,2115375.806878766
542,2591586.996562252
543,2391448.4125405955
544,2443895.676996591
545,2511997.4674619897
546,2362348.40246863
547,2384673.7841369826
548,2543785.7780631226
549,2738327.0286854487
550,2539680.827517389
551,2369509.3498434774
552,2249398.8962755026
553,1949726.738362742
554,2245766.544111985
555,2209018.723695746
556,2030138.9044684062
557,2037034.94594153
558,2081834.7662845224
559,2112031.9587217052
560,2166645.78558386
561,2407023.2829394224
562,2072837.433532385
563,1992784.6131023197
564,2043724.50146558
565,1817727.0602216937
566,1894041.0440983246
567,1522524.8565837767
568,1481987.2681840465
569,1519432.2069728768
570,1536876.480027371
571,1444658.6015172384
572,1436308.6403241733
573,1499773.5135957964
574,1486512.1271959967
575,1474848.3672077877
576,1491259.2255591326
577,1325244.5640668576
578,1340213.4670252556
579,1194856.599658507
580,1149743.3217530611
581,875253.2558508464
582,970401.3290627666
583,953650.3524858244
584,1031043.0476701324
585,1088228.3559853572
586,1111590.0197921034
587,1069942.482006193
588,1176038.771282453
589,1256434.9458709725
590,1264749.4966469707
591,1401635.9958511866
592,1311101.9409472137
593,1224226.7386102732
594,1259932.1435406646
595,1267930.3402720885
596,1311083.8499641865
597,1270401.612139781
598,1336242.559019195
599,1352662.8298307327
600,1410802.3572101353
601,1310610.8717637146
602,1207666.1339727791
603,1136465.1442644638
604,1129493.1714963594
605,1113359.4678168069
606,1112116.5561740354
607,994196.5912247688
608,997922.5259215485
609,1002419.3065070603
610,1036957.2205944139
611,1070392.577696382
612,1072289.5382493979
613,1047899.5302224989
614,1065890.6144767622
615,982240.7024849628
616,936144.9352438761
617,950547.1501889682
618,851281.9783926494
619,841496.2182871389
620,884600.4759929128
621,810095.2169156056
622,805071.7606516036
623,784099.3023986452
624,799821.544405968
625,807349.7967067028
626,822974.2884584893
627,925127.5651355714
628,925914.0697450776
629,944800.2070647792
630,926262.0373775018
631,956398.8319410384
632,971611.7866039907
633,1034160.7378511054
634,1044056.3642147206
635,1130037.745939795
636,1026150.995375654
637,1075496.7600687642
638,1040823.1819213191
639,1069775.506448638
640,1055611.5004174663
641,1069058.9367748434
642,1126293.3138678144
643,1121300.2637618855
644,1082761.2284804978
645,1066678.8661415644
646,1077065.202045878
647,1044081.9466697618
648,972107.0022984458
649,1003304.0490850551
650,979260.3950898194
651,962835.7676930083
652,930723.7123567829
653,948563.9888770822
654,967686.2424325263
655,923328.0166000965
656,866019.2077099879
657,869395.19539998
658,857024.1176978718
659,856158.6190593885
660,848555.1237198237
661,858538.1019397437
662,863937.5533350721
663,860841.224099754
664,874399.4399192478
665,876712.4770507134
666,879486.9330327653
667,873358.171731182
668,786984.7742039444
669,749106.8244634019
670,722173.2328108734
