,portfolio_value
365,112191.8986530912
366,111858.35081779928
367,111303.22696669448
368,113580.10496907416
369,117174.564719952
370,116668.47766723325
371,116057.19690852104
372,119132.87334911322
373,118780.2872380006
374,119329.63785614315
375,120150.53705868819
376,119654.95734637955
377,117695.14322876743
378,119440.94209433779
379,120144.25936200398
380,119965.25714767669
381,121375.58812422864
382,120833.76158994365
383,122868.08333308238
384,123973.75573449428
385,124693.74477343254
386,126504.6592188079
387,126306.60583002797
388,131317.09118231887
389,132768.17801994114
390,134369.02377471438
391,136559.58209098078
392,137612.86873985972
393,144654.3930957899
394,145919.07364968315
395,147358.6451555865
396,149698.47750344183
397,144361.82229534356
398,145351.01989925856
399,145117.87604264752
400,148069.3582715923
401,150335.7088830159
402,154665.6619777186
403,161963.8874022375
404,167443.5886908012
405,171970.47263108252
406,167357.48776601316
407,163531.53495105274
408,162453.75299406907
409,166473.6506363622
410,171441.60645065532
411,174551.25815052912
412,181176.95971722866
413,186646.9851712316
414,182447.52543827315
415,184912.81202001774
416,185369.8574123739
417,179798.99211775584
418,182156.75036922714
419,174691.18481658513
420,173054.31917039416
421,174947.89200553336
422,178106.3016434883
423,181937.32880616255
424,180815.65569373782
425,181321.39676651204
426,182743.73561196323
427,173473.3967850408
428,175323.6341950539
429,176868.64779382222
430,174861.23512339772
431,172987.0627463525
432,175987.42343468862
433,177482.7815989305
434,176891.3460040704
435,174361.17481009196
436,169245.02906042905
437,167932.8436251553
438,170726.08105693964
439,169399.96357648965
440,165197.1510832751
441,165004.51236647303
442,168331.440410636
443,167119.86278172064
444,185088.6961345366
445,179949.03569989162
446,182817.8335601038
447,176920.6161195251
448,175294.55772605803
449,180011.13391402055
450,184413.60811296114
451,186513.30744774087
452,181481.8618404973
453,181272.17311213084
454,184187.88374390552
455,187301.18916920418
456,201922.56506252545
457,202891.48518187652
458,200562.99246559243
459,200295.07298882914
460,208118.4449316023
461,226787.63306347418
462,222955.95484707569
463,228223.1902684425
464,225252.3173678612
465,220538.01186351257
466,216330.98374687825
467,220093.7552239821
468,221058.75470699114
469,225572.74800348005
470,226792.5100512704
471,227083.65595290225
472,232190.02144566804
473,232390.3542786455
474,236549.8443718992
475,241367.50483590324
476,227059.85360300966
477,233029.42580248017
478,233085.21738705572
479,223144.26496323672
480,222533.18414261856
481,222090.15721254406
482,215261.84992534405
483,192890.8151211529
484,206747.57382517026
485,218458.28532300354
486,214733.2000947291
487,214250.30120211872
488,206144.69027693482
489,206155.7073564978
490,214006.82756005324
491,213148.26765921648
492,221686.76508747324
493,221133.07115207444
494,221211.79889610055
495,228046.90520848313
496,225890.63743071005
497,223695.4956136336
498,226945.4716474356
499,227922.30620362682
500,237742.18838843887
501,238303.50439898207
502,239593.97004667998
503,253902.5261474286
504,258641.5795288305
505,260596.47529172318
506,257926.56896620485
507,257711.27895224604
508,260434.1174511104
509,267837.38565970707
510,265495.84741106356
511,256370.40352867765
512,260830.8258042235
513,264446.3832094207
514,262718.44015713356
515,269941.86070817197
516,277392.8446577227
517,283841.70931143576
518,290277.33674632147
519,293387.5420597155
520,289800.0987031742
521,292187.1889127391
522,298744.9498229574
523,291734.2742475422
524,280544.85755623016
525,279426.6238139153
526,280716.62449121266
527,293701.3770700914
528,305704.53283287864
529,302062.26413443557
530,311657.24819001585
531,310195.3918249437
532,313522.06414667866
533,313886.4122843145
534,341052.20214097324
535,346899.29599329067
536,343833.9014527853
537,351228.02173397277
538,363155.82659195387
539,373875.93900332495
540,377318.1612273704
541,394212.82288329024
542,414628.87055908283
543,407186.9762111511
544,409111.97483743343
545,412223.2651788072
546,407729.87579913373
547,408501.7300819705
548,416759.81233236176
