,portfolio_value
375,100057.40214373896
376,100136.46345313771
377,99592.75500584464
378,100181.50243174765
379,100137.13674431099
380,100654.45843746992
381,100369.99966289669
382,100373.66472317946
383,99871.40313580645
384,100285.89468478001
385,100420.41110403865
386,100108.88650360964
387,100556.5369772029
388,101136.77139510975
389,100556.54861792696
390,100890.1963164762
391,100662.30999491576
392,100909.07616915692
393,101464.3201088037
394,101159.05966927687
395,101222.09315670966
396,101431.50490090146
397,101171.94019071227
398,101403.31819398954
399,101326.98004691438
400,101190.46751749731
401,100367.91795288229
402,99808.17018074357
403,100133.77338474714
404,100153.1321869545
405,100098.25791196148
406,100254.01021294403
407,100486.86863881658
408,101071.24805913416
409,103021.23857543619
410,103382.55130718638
411,103701.48918992544
412,105659.64596610071
413,106122.4666406594
414,105931.41181162371
415,106694.0613905997
416,106746.33481241051
417,106784.87574604209
418,110709.65469949628
419,110014.55696933092
420,110554.9160407326
421,111300.8050162413
422,111035.42184825618
423,110618.78589068986
424,109292.46026777865
425,108506.07355573738
426,108739.6679216558
427,109760.19298642763
428,109992.9929449776
429,110415.68266287947
430,110822.06706535198
431,111982.71021781092
432,113014.36386101203
433,113351.73318313494
434,113881.94176492485
435,113358.53559761345
436,114680.26031967241
437,114029.7917284577
438,113424.10064053623
439,113998.72200813855
440,113498.56486894343
441,113053.0557691953
442,113278.02127922743
443,113489.13815089525
444,112935.38206846526
445,113293.8374602291
446,113145.79117537923
447,112850.6754580479
448,113023.62678276155
449,113947.05877182532
450,113842.66115179086
451,114548.72229493041
452,113542.25668774001
453,112429.29241851487
454,112631.34860952655
455,113142.06899152188
456,112479.2674084668
457,112681.81681122383
458,113159.62704186092
459,113398.11795742973
460,112992.21412753375
461,113184.26277209571
462,112805.84534268573
463,112757.28595442073
464,113010.49107224733
465,113309.36960487904
466,112812.72160204286
467,113206.11324211032
468,113283.73248088185
469,112628.86172513352
470,112406.89138607676
471,112096.37084241076
472,112773.79521686572
473,112315.11273500751
474,112173.47843775526
475,112294.03315402247
476,112494.26554985635
477,113756.47607893219
478,113674.38348189552
479,113094.62931116106
480,111276.73981153364
481,111581.87137295962
482,110445.00380577028
483,110603.87783501517
484,110589.94497386747
485,110638.95814726039
486,110627.44888268584
487,110764.1246806408
488,111739.06873793503
489,112313.91335223388
490,112178.4336259219
491,112134.31407917377
492,112378.85304349069
493,112377.75123466966
494,112092.86814721345
495,112018.99638961902
496,111768.11715928925
497,110082.86499032061
498,110078.6822832462
499,109654.1328513124
500,109621.21767798363
501,109751.95486486456
502,109409.53603697679
503,109452.5704056066
504,109525.14914360357
505,108989.11567291565
506,109114.18197795551
507,109607.21799255116
508,109768.18492066169
509,109650.91796746945
510,109771.95874877703
511,110079.64090989121
512,110307.99373070203
513,110197.19213178333
514,109957.36069188821
515,109925.42787678313
516,110395.31684756678
517,110777.15280683384
518,111080.33716419413
519,109895.6484062717
520,110403.40403202131
521,110341.4721525793
522,110363.01631579359
523,109548.54369761063
524,108603.29900628293
525,107713.5986519129
526,107122.02331737631
527,107912.4914242209
528,108579.67597372559
529,108113.85935966823
530,107877.11691090588
531,108120.0340906384
532,108379.62367880603
533,107607.2703220853
534,107585.04858279033
535,107814.40151527309
536,107882.10278744598
537,107097.65661370543
538,106780.6802117059
539,107519.11038404086
540,107229.5013131927
541,107393.45113708112
542,108289.9137107436
543,108035.51585654695
544,107658.1881829659
545,107901.24734424507
546,108167.90975883091
547,107140.15174625591
548,106989.91779816443
549,107153.98918923853
550,107802.90277258873
551,107755.35728680006
552,108366.5568806571
553,108714.77791348181
554,109905.09971631723
555,110271.76518884361
556,110967.92320055801
557,111375.825272513
558,110883.13816031483
559,112919.91286577865
560,115221.60603097283
561,114820.19720957596
562,113479.5098298897
563,113831.09571812833
564,113991.49612362847
565,113143.54989559174
566,113305.0777549654
567,113512.84302328901
568,114785.36915596583
569,114047.0354713427
570,113755.91855913079
571,113910.4388498326
572,114500.7830439057
573,114201.80910793554
574,114024.7575980601
575,113893.54880264745
576,114008.42470077846
577,113785.74735644601
578,114831.93080766888
579,114722.54454148091
580,115109.5978443466
581,115619.0114282489
582,116157.00969136524
583,116443.59036054094
584,117095.96117551693
585,116389.93275316646
586,116620.64971556295
587,116610.34562294517
588,116727.97995287515
589,117021.0613738084
590,117415.19457941572
591,117672.510475618
592,118358.2265471696
593,118413.85061370996
594,119096.63594017038
595,119718.44578374065
596,119515.47524517718
597,119508.51500347191
598,119959.81337747509
599,119303.51562532182
600,119535.8781285953
601,118998.05959579052
602,118285.72622239348
603,117513.3629698435
604,117320.94293841266
605,117369.8545654761
606,117653.87288506504
607,117468.42148939814
608,118895.43615429514
609,118512.35556392993
610,118319.31601669491
611,118350.446461912
612,118501.09671052462
613,118525.73993335293
614,118340.99544049078
615,118041.47789163263
616,118729.09750378666
617,118746.29213328096
618,119032.66761795673
619,118641.39807007748
